Location	Day	TrainIn	TrainOut
Dv	1	1672	1672
Ehv	1	9616	9616
Ehv	1	80316	13515
Ehv	1	9615	9615
Ehv	1	9617	9617
Ehv	1	822	822
Ehv	1	823	823
Ehv	1	9625	9625
Ehv	1	825	825
Ehv	1	828	828
Ehv	1	827	827
Ehv	1	830	830
Ehv	1	829	829
Ehv	1	9631	9631
Ehv	1	831	831
Ehv	1	9633	9633
Ehv	1	9635	9635
Ehv	1	9640	9640
Ehv	1	839	839
Ehv	1	844	844
Ehv	1	843	843
Ehv	1	856	856
Ehv	1	858	858
Ehv	1	9657	9657
Ehv	1	860	860
Ehv	1	9660	9660
Ehv	1	862	862
Ehv	1	9661	9661
Ehv	1	863	863
Ehv	1	9666	9666
Ehv	1	865	865
Ehv	1	867	867
Ehv	1	9669	9669
Ehv	1	9671	80204
Ehv	1	3571	13571
Ehv	1	9673	9673
Ehv	1	13578	80348
Ehv	1	3573	13573
Ehv	1	9675	9678
Ehv	1	3575	13575
Ehv	1	3577	13577
Ehv	1	13588	80313
Es	1	80458	1718
Es	1	7909	7922
Es	1	7917	7930
Es	1	1621	1632
Es	1	1723	1734
Es	1	1625	1636
Es	1	1727	1738
Es	1	1641	1652
Es	1	1649	1660
Es	1	1751	1762
Es	1	1657	1668
Es	1	7955	7968
Es	1	1759	1770
Es	1	1661	1672
Es	1	1763	1774
Es	1	1665	1676
Es	1	1673	1684
Es	1	7983	77983
Gn	1	515	528
Gn	1	6219	532
Gn	1	527	540
Gn	1	543	556
Gn	1	745	758
Gn	1	551	564
Gn	1	563	576
Gn	1	769	782
Gn	1	571	584
Gv	1	77895	74087
Gvc	1	6321	6308
Gvc	1	11712	1723
Gvc	1	2012	2025
Gvc	1	1714	11725
Gvc	1	4610	4629
Gvc	1	1718	11729
Gvc	1	2018	2031
Gvc	1	11720	1731
Gvc	1	4616	4635
Gvc	1	1820	733
Gvc	1	2022	2035
Gvc	1	4618	4637
Gvc	1	722	1835
Gvc	1	11724	1735
Gvc	1	4620	4639
Gvc	1	1824	737
Gvc	1	1726	11737
Gvc	1	2026	2039
Gvc	1	4622	4641
Gvc	1	726	1839
Gvc	1	11728	1739
Gvc	1	4624	4643
Gvc	1	1730	11741
Gvc	1	2030	2043
Gvc	1	1832	745
Gvc	1	6832	7847
Gvc	1	1734	11745
Gvc	1	1738	11749
Gvc	1	2038	2051
Gvc	1	4638	4657
Gvc	1	742	1855
Gvc	1	11744	1755
Gvc	1	2044	2057
Gvc	1	4640	4659
Gvc	1	1746	11757
Gvc	1	7844	6857
Gvc	1	2046	2059
Gvc	1	4642	4661
Gvc	1	746	1859
Gvc	1	6846	7861
Gvc	1	11748	1759
Gvc	1	7846	6859
Gvc	1	2048	2061
Gvc	1	4644	4663
Gvc	1	1848	761
Gvc	1	6848	7863
Gvc	1	1750	11761
Gvc	1	2050	2063
Gvc	1	750	1863
Gvc	1	7850	6863
Gvc	1	2052	2065
Gvc	1	4648	4667
Gvc	1	1852	765
Gvc	1	6852	7867
Gvc	1	2054	2067
Gvc	1	4650	4669
Gvc	1	11756	1767
Gvc	1	1856	769
Gvc	1	1758	11769
Gvc	1	758	1871
Gvc	1	2060	2073
Gvc	1	1762	11773
Gvc	1	2173	2162
Gvc	1	2062	2075
Gvc	1	4660	4679
Gvc	1	2066	2079
Gvc	1	766	777
Gvc	1	7868	7885
Gvc	1	2070	1883
Gvc	1	2183	2172
Gvc	1	7880	77880
Hdr	1	3018	3037
Hdr	1	3054	3075
Hdr	1	3056	3077
Hdr	1	3060	3079
Hfdo	1	73317	74319
Hfdo	1	74310	75721
Hfdo	1	73112	73123
Hfdo	1	71618	71629
Hfdo	1	73118	73129
Hfdo	1	73120	73131
Hfdo	1	74320	75731
Hfdo	1	73122	73133
Hfdo	1	73124	73135
Hfdo	1	73128	73139
Hfdo	1	73138	73149
Hfdo	1	73146	73157
Hfdo	1	73148	73159
Hfdo	1	75748	74359
Hfdo	1	71650	71661
Hfdo	1	74352	75763
Hfdo	1	75752	74363
Hfdo	1	73154	73165
Hfdo	1	73156	73167
Hfdo	1	74356	75767
Hfdo	1	75756	74367
Hfdo	1	74358	75769
Hfdo	1	75758	74369
Hfdo	1	74362	74375
Hfdo	1	73164	73175
Hfdo	1	74364	80099
Hfdo	1	71666	71677
Hfdo	1	74366	74379
Hfdo	1	71672	71683
Hn	1	4831	4828
Hn	1	4849	4846
Hn	1	4867	4864
Hn	1	4873	4870
Ht	1	80302	6914
Ht	1	9624	4428
Ht	1	9630	4434
Ht	1	9634	4438
Ht	1	9636	4440
Ht	1	9652	4456
Ht	1	9654	4458
Ht	1	9656	4460
Ht	1	9658	4462
Ht	1	76764	80342
Ht	1	6989	80301
Koln	1	104	104
Ledn	1	78917	8917
Ledn	1	8922	78931
Ledn	1	78946	78946
Lls	1	80023	713
Lls	1	72433	2433
Lls	1	72459	2459
Lls	1	72467	2467
Lls	1	72469	2469
Lls	1	72471	2471
Lw	1	1811	1824
Lw	1	613	626
Lw	1	625	638
Lw	1	645	658
Lw	1	1847	1860
Lw	1	1855	1868
Lw	1	657	670
Lw	1	1859	1872
Lw	1	669	682
Mt	1	857	870
Mt	1	859	872
Mt	1	861	874
Mt	1	869	882
Mt	1	873	886
Nm	1	3161	3064
Nm	1	3167	3070
Nm	1	4472	4477
Nm	1	4476	4481
Paris	1	9310	9327
Paris	1	9352	9369
Rsd	1	2223	2223
Rsd	1	3613	3622
Rsd	1	3615	3624
Rsd	1	2218	2218
Rsd	1	2222	2222
Rsd	1	2226	2226
Rsd	1	3637	3646
Rsd	1	2253	2253
Rsd	1	2257	2257
Rsd	1	2261	2261
Rsd	1	2263	2263
Rsd	1	2250	2250
Rsd	1	2254	2254
Rsd	1	3661	3670
Rsd	1	3663	3672
Rsd	1	2258	2258
Rsd	1	2262	2262
Rsd	1	2266	2266
Rsd	1	2274	2274
Rtd	1	1413	2821
Rtd	1	2225	2225
Rtd	1	614	625
Rtd	1	2216	2216
Rtd	1	4027	4028
Rtd	1	2233	2233
Rtd	1	2220	2220
Rtd	1	622	633
Rtd	1	4029	4030
Rtd	1	2824	2835
Rtd	1	524	535
Rtd	1	4031	4032
Rtd	1	2224	2224
Rtd	1	626	637
Rtd	1	4033	4034
Rtd	1	2828	2839
Rtd	1	528	539
Rtd	1	4035	4036
Rtd	1	2228	2228
Rtd	1	630	641
Rtd	1	2230	2230
Rtd	1	2434	2434
Rtd	1	4039	4040
Rtd	1	2245	2245
Rtd	1	4047	4048
Rtd	1	2842	2853
Rtd	1	4049	4050
Rtd	1	4051	4052
Rtd	1	2846	2857
Rtd	1	646	657
Rtd	1	2259	2259
Rtd	1	548	559
Rtd	1	650	661
Rtd	1	4057	4058
Rtd	1	2265	2265
Rtd	1	2267	2267
Rtd	1	556	567
Rtd	1	4063	4064
Rtd	1	2269	2269
Rtd	1	2256	2256
Rtd	1	658	669
Rtd	1	2860	2871
Rtd	1	662	673
Rtd	1	4069	4070
Rtd	1	2264	2264
Rtd	1	4077	4078
Rtd	1	572	583
Rtd	1	4079	4080
Rtd	1	5185	5185
Rtd	1	4083	4084
Rtd	1	4087	4088
Ut	1	5614	5619
Ut	1	6018	6118
Ut	1	2823	2818
Ut	1	4921	4924
Ut	1	7432	7432
Ut	1	641	641
Ut	1	7447	7447
Ut	1	7456	7456
Ut	1	6060	6160
Ut	1	5763	5567
Ut	1	2869	2864
Ut	1	6964	7864
Ut	1	7466	7466
Ut	1	6966	7866
Ut	1	7468	7468
Ut	1	6072	6079
Ut	1	6074	6081
Ut	1	7483	7483
Vl	1	13567	13578
Zl	1	1816	1816
Zl	1	516	516
Zl	1	618	618
Zl	1	7920	7917
Zl	1	1820	1820
Zl	1	14617	14622
Zl	1	5617	5624
Zl	1	7922	7919
Zl	1	622	622
Zl	1	14619	14624
Zl	1	8124	8121
Zl	1	7924	7921
Zl	1	8126	8123
Zl	1	523	523
Zl	1	7926	7923
Zl	1	5623	5630
Zl	1	625	625
Zl	1	725	725
Zl	1	8130	8127
Zl	1	5625	5632
Zl	1	527	527
Zl	1	630	630
Zl	1	1827	1827
Zl	1	8132	8129
Zl	1	5627	5634
Zl	1	629	629
Zl	1	3624	3639
Zl	1	1832	1832
Zl	1	14629	14634
Zl	1	5629	5636
Zl	1	531	531
Zl	1	1831	1831
Zl	1	5631	5638
Zl	1	633	633
Zl	1	536	536
Zl	1	638	638
Zl	1	540	540
Zl	1	642	642
Zl	1	1839	1839
Zl	1	641	641
Zl	1	1844	1844
Zl	1	14641	14646
Zl	1	543	543
Zl	1	646	646
Zl	1	645	645
Zl	1	1848	1848
Zl	1	5645	5652
Zl	1	547	547
Zl	1	650	650
Zl	1	5647	5654
Zl	1	552	552
Zl	1	5649	5656
Zl	1	3646	3661
Zl	1	654	654
Zl	1	8156	8153
Zl	1	5651	5658
Zl	1	653	653
Zl	1	3648	3663
Zl	1	1856	1856
Zl	1	556	556
Zl	1	7958	7955
Zl	1	658	658
Zl	1	1855	1855
Zl	1	8160	8157
Zl	1	7960	7957
Zl	1	1860	1860
Zl	1	560	560
Zl	1	14657	14662
Zl	1	5657	5664
Zl	1	559	559
Zl	1	8562	8559
Zl	1	14659	14664
Zl	1	5659	5666
Zl	1	7964	7961
Zl	1	661	661
Zl	1	3656	3671
Zl	1	14661	14666
Zl	1	5661	5668
Zl	1	563	563
Zl	1	7966	7963
Zl	1	1863	1863
Zl	1	14663	14668
Zl	1	8168	8165
Zl	1	5663	5670
Zl	1	665	665
Zl	1	7968	7965
Zl	1	765	765
Zl	1	14665	14670
Zl	1	8172	8169
Zl	1	14669	14674
Zl	1	14675	14680
Zl	1	3680	73680
Zp	1	7615	7622
Zp	1	7661	7668
Zp	1	7665	7672
Ah	2	3120	3120
Ah	2	3020	3020
Ah	2	3122	3122
Ah	2	3124	3124
Ah	2	3024	3024
Ah	2	3128	3128
Ah	2	3130	3130
Ah	2	3132	3132
Ah	2	3134	3134
Ah	2	3036	3036
Ah	2	3138	3138
Ah	2	3144	3144
Ah	2	3148	3148
Ah	2	3152	3152
Ah	2	3054	3054
Ah	2	3056	3056
Ah	2	3060	3060
Ah	2	3162	3162
Ah	2	3062	3062
Ah	2	3164	3164
Ah	2	3066	3066
Ah	2	3168	3168
Ah	2	3068	3068
Alm	2	2665	72665
Amf	2	88514	73117
Amf	2	1535	1538
Amf	2	1551	1554
Amf	2	88568	1558
Amf	2	15887	88503
Amr	2	3023	3023
Amr	2	3025	3025
Amr	2	814	814
Amr	2	3027	3027
Amr	2	3016	3016
Amr	2	831	831
Amr	2	818	818
Amr	2	3031	3031
Amr	2	3033	3033
Amr	2	3020	3020
Amr	2	822	837
Amr	2	824	839
Amr	2	826	841
Amr	2	3026	3026
Amr	2	3030	3030
Amr	2	832	847
Amr	2	3059	3059
Amr	2	3061	3061
Amr	2	3048	3048
Amr	2	3063	3063
Amr	2	3050	3050
Amr	2	865	865
Amr	2	3065	3065
Amr	2	3052	3052
Amr	2	867	867
Amr	2	3067	3067
Amr	2	869	869
Amr	2	3069	3069
Amr	2	3062	3062
Amr	2	74871	4872
Amr	2	4879	74097
Asd	2	80826	4606
Asd	2	80820	819
Asd	2	15810	5810
Asd	2	70105	105
Asd	2	2118	2137
Asd	2	2142	2161
Asd	2	2255	2252
Asd	2	861	861
Asd	2	3064	3064
Asd	2	2160	2179
Asd	2	2166	2185
Asd	2	2168	2187
Asd	2	3081	3081
Asd	2	2281	80775
Asd	2	884	80707
Bkh	2	83141	83138
Brusz	2	9310	9310
Brusz	2	9309	9309
Brusz	2	9322	9322
Brusz	2	9327	9327
Brusz	2	9339	9339
Brusz	2	9352	9352
Brusz	2	9351	9351
Brusz	2	9370	9370
Brusz	2	9376	9376
Ddr	2	80406	2412
Ddr	2	2206	2414
Ddr	2	2423	2418
Ddr	2	2425	2420
Ddr	2	2427	2422
Ddr	2	2429	2424
Ddr	2	2433	2428
Ddr	2	2437	2432
Ddr	2	2439	2434
Ddr	2	2457	2452
Ddr	2	2461	2456
Ddr	2	2469	2464
Ddr	2	2471	2466
Ddr	2	2473	2468
Ddr	2	2483	80403
Ddr	2	2487	80405
Dv	2	1727	1727
Dv	2	1731	1731
Dv	2	1633	1633
Dv	2	1636	1636
Dv	2	1735	1735
Dv	2	1738	1738
Dv	2	1640	1640
Dv	2	1747	1747
Dv	2	1750	1750
Dv	2	1652	1652
Dv	2	1751	1751
Dv	2	1653	1653
Dv	2	1656	1656
Dv	2	1758	1758
Dv	2	1660	1660
Ehv	2	80205	79620
Ehv	2	80316	76422
Ehv	2	80310	13517
Ehv	2	9616	9616
Ehv	2	822	822
Ehv	2	823	823
Ehv	2	9625	9625
Ehv	2	825	825
Ehv	2	828	828
Ehv	2	827	827
Ehv	2	830	830
Ehv	2	829	829
Ehv	2	9631	9631
Ehv	2	831	831
Ehv	2	9633	9633
Ehv	2	9635	9635
Ehv	2	9637	9637
Ehv	2	840	840
Ehv	2	842	842
Ehv	2	844	844
Ehv	2	843	843
Ehv	2	9646	9646
Ehv	2	845	845
Ehv	2	847	847
Ehv	2	856	856
Ehv	2	9655	9655
Ehv	2	858	858
Ehv	2	9657	9657
Ehv	2	860	860
Ehv	2	9660	9660
Ehv	2	9659	9659
Ehv	2	859	859
Ehv	2	862	862
Ehv	2	863	863
Ehv	2	9666	9666
Ehv	2	9665	9665
Ehv	2	867	867
Ehv	2	9669	9669
Ehv	2	3569	13569
Ehv	2	9671	80204
Ehv	2	3571	13571
Ehv	2	9673	9673
Ehv	2	3573	13573
Ehv	2	9675	9678
Ehv	2	13580	80348
Ehv	2	9677	9677
Ehv	2	13588	80313
Ehv	2	888	80311
Es	2	7909	7922
Es	2	1617	1628
Es	2	1719	1730
Es	2	7917	7930
Es	2	1621	1632
Es	2	1625	1636
Es	2	7925	7938
Es	2	7929	7942
Es	2	1633	1644
Es	2	7931	7944
Es	2	1739	1750
Es	2	7939	7952
Es	2	7941	7954
Es	2	7943	7956
Es	2	1747	1758
Es	2	1649	1660
Es	2	1751	1762
Es	2	1755	1766
Es	2	7953	7966
Es	2	1657	1668
Es	2	7955	7968
Es	2	7957	7970
Es	2	1665	1676
Es	2	1767	1778
Es	2	1771	1782
Es	2	7983	77983
Gn	2	717	730
Gn	2	8117	8132
Gn	2	523	536
Gn	2	725	738
Gn	2	527	540
Gn	2	535	548
Gn	2	543	556
Gn	2	745	758
Gn	2	551	564
Gn	2	555	568
Gn	2	757	770
Gn	2	559	572
Gn	2	563	576
Gn	2	765	778
Gn	2	575	8190
Gvc	2	7808	6821
Gvc	2	1812	725
Gvc	2	1714	11725
Gvc	2	2125	2114
Gvc	2	4610	4629
Gvc	2	714	1827
Gvc	2	1816	729
Gvc	2	1718	11729
Gvc	2	2018	2031
Gvc	2	718	1831
Gvc	2	4616	4635
Gvc	2	1820	733
Gvc	2	2022	2035
Gvc	2	4618	4637
Gvc	2	722	1835
Gvc	2	11724	1735
Gvc	2	4620	4639
Gvc	2	1824	737
Gvc	2	1726	11737
Gvc	2	2026	2039
Gvc	2	4622	4641
Gvc	2	726	1839
Gvc	2	4624	4643
Gvc	2	1730	11741
Gvc	2	2030	2043
Gvc	2	730	1843
Gvc	2	1832	745
Gvc	2	6832	7847
Gvc	2	1734	11745
Gvc	2	11736	1747
Gvc	2	1738	11749
Gvc	2	2038	2051
Gvc	2	2040	2053
Gvc	2	1742	11753
Gvc	2	4638	4657
Gvc	2	742	1855
Gvc	2	11744	1755
Gvc	2	2044	2057
Gvc	2	4640	4659
Gvc	2	1844	757
Gvc	2	1746	11757
Gvc	2	7844	6857
Gvc	2	2046	2059
Gvc	2	4642	4661
Gvc	2	746	1859
Gvc	2	6846	7861
Gvc	2	7846	6859
Gvc	2	2048	2061
Gvc	2	4644	4663
Gvc	2	1848	761
Gvc	2	6848	7863
Gvc	2	1750	11761
Gvc	2	2050	2063
Gvc	2	750	1863
Gvc	2	11752	1763
Gvc	2	7850	6863
Gvc	2	2052	2065
Gvc	2	4648	4667
Gvc	2	1852	765
Gvc	2	6852	7867
Gvc	2	4650	4669
Gvc	2	754	1867
Gvc	2	11756	1767
Gvc	2	1856	769
Gvc	2	758	1871
Gvc	2	11760	1771
Gvc	2	2060	2073
Gvc	2	1860	773
Gvc	2	2173	2162
Gvc	2	2062	2075
Gvc	2	2175	777
Gvc	2	7862	6875
Gvc	2	2066	2079
Gvc	2	11768	1779
Gvc	2	1868	781
Gvc	2	7868	7885
Gvc	2	11772	1783
Gvc	2	1872	785
Gvc	2	4672	4691
Gvc	2	7880	77880
Hdr	2	3018	3037
Hdr	2	3054	3075
Hdr	2	3056	3077
Hdr	2	3058	3079
Hfdo	2	73317	74319
Hfdo	2	74310	75721
Hfdo	2	75710	74321
Hfdo	2	73118	73129
Hfdo	2	73120	73131
Hfdo	2	74320	75731
Hfdo	2	73122	73133
Hfdo	2	71624	71635
Hfdo	2	73124	73135
Hfdo	2	73126	73137
Hfdo	2	71628	71639
Hfdo	2	73134	73145
Hfdo	2	71638	71649
Hfdo	2	73138	73149
Hfdo	2	74346	75757
Hfdo	2	73148	73159
Hfdo	2	75748	74359
Hfdo	2	74350	75761
Hfdo	2	71652	71663
Hfdo	2	74352	75763
Hfdo	2	75752	74363
Hfdo	2	73154	73165
Hfdo	2	73156	73167
Hfdo	2	74356	75767
Hfdo	2	75756	74367
Hfdo	2	74358	75769
Hfdo	2	71660	71671
Hfdo	2	71662	71673
Hfdo	2	75762	74373
Hfdo	2	73166	73177
Hfdo	2	74366	74377
Hfdo	2	73568	73577
Hfdo	2	74368	73378
Hfdo	2	73170	73581
Hfdo	2	71672	71683
Hn	2	4831	4828
Hn	2	4849	4846
Hn	2	4867	4864
Hn	2	4873	4870
Ht	2	80302	6914
Ht	2	80300	9617
Ht	2	9624	4428
Ht	2	9630	4434
Ht	2	9634	4438
Ht	2	9636	4440
Ht	2	9652	4456
Ht	2	9654	4458
Ht	2	9656	4460
Ht	2	9658	4462
Ht	2	76764	80342
Ht	2	6989	80301
Koln	2	104	104
Ledn	2	78917	8917
Ledn	2	8922	78931
Ledn	2	78946	78946
Lls	2	80023	713
Lls	2	72433	2433
Lls	2	72459	2459
Lls	2	72467	2467
Lls	2	72469	2469
Lls	2	72471	2471
Lls	2	72473	2473
Llso	2	72456	72483
Lw	2	1811	1824
Lw	2	613	626
Lw	2	1831	1844
Lw	2	1847	1860
Lw	2	657	670
Lw	2	1859	1872
Lw	2	661	674
Lw	2	665	678
Lw	2	677	690
Mt	2	855	868
Mt	2	857	870
Mt	2	861	874
Mt	2	865	878
Mt	2	869	882
Mt	2	873	886
Nm	2	3159	3062
Nm	2	4465	4465
Nm	2	3167	3070
Nm	2	4472	4477
Nm	2	3079	3084
Rsd	2	2223	2223
Rsd	2	3615	3624
Rsd	2	2218	2218
Rsd	2	2222	2222
Rsd	2	2226	2226
Rsd	2	2253	2253
Rsd	2	2257	2257
Rsd	2	2261	2261
Rsd	2	2263	2263
Rsd	2	2250	2250
Rsd	2	2254	2254
Rsd	2	3661	3670
Rsd	2	3663	3672
Rsd	2	2258	2258
Rsd	2	2262	2262
Rtd	2	1413	2821
Rtd	2	72219	2219
Rtd	2	2225	2225
Rtd	2	614	625
Rtd	2	4021	4022
Rtd	2	516	527
Rtd	2	2216	2216
Rtd	2	520	531
Rtd	2	4027	4028
Rtd	2	2233	2233
Rtd	2	2220	2220
Rtd	2	622	633
Rtd	2	4029	4030
Rtd	2	2824	2835
Rtd	2	524	535
Rtd	2	4031	4032
Rtd	2	2224	2224
Rtd	2	2828	2839
Rtd	2	4035	4036
Rtd	2	2228	2228
Rtd	2	2230	2230
Rtd	2	2434	2434
Rtd	2	4039	4040
Rtd	2	2245	2245
Rtd	2	4047	4048
Rtd	2	2842	2853
Rtd	2	2255	2255
Rtd	2	544	555
Rtd	2	4051	4052
Rtd	2	2846	2857
Rtd	2	646	657
Rtd	2	2259	2259
Rtd	2	548	559
Rtd	2	650	661
Rtd	2	4057	4058
Rtd	2	2265	2265
Rtd	2	2267	2267
Rtd	2	556	567
Rtd	2	4063	4064
Rtd	2	2858	2869
Rtd	2	658	669
Rtd	2	2860	2871
Rtd	2	560	571
Rtd	2	4067	4068
Rtd	2	662	673
Rtd	2	4069	4070
Rtd	2	2264	2264
Rtd	2	4077	4078
Rtd	2	572	583
Rtd	2	4079	4080
Rtd	2	4083	4084
Rtd	2	2278	2278
Ut	2	14915	4918
Ut	2	5614	5619
Ut	2	519	519
Ut	2	6018	6118
Ut	2	2823	2818
Ut	2	4921	4924
Ut	2	4923	4926
Ut	2	7432	7432
Ut	2	7447	7447
Ut	2	7456	7456
Ut	2	6060	6160
Ut	2	5763	5764
Ut	2	7466	7466
Ut	2	7468	7468
Ut	2	6072	6079
Ut	2	6074	6081
Ut	2	7474	7474
Ut	2	5582	5589
Vl	2	13567	13578
Zl	2	1816	1816
Zl	2	516	516
Zl	2	7918	7915
Zl	2	618	618
Zl	2	617	617
Zl	2	7920	7917
Zl	2	1820	1820
Zl	2	14617	14622
Zl	2	5617	5624
Zl	2	622	622
Zl	2	14619	14624
Zl	2	8124	8121
Zl	2	621	621
Zl	2	7924	7921
Zl	2	524	524
Zl	2	8126	8123
Zl	2	7926	7923
Zl	2	5623	5630
Zl	2	625	625
Zl	2	528	528
Zl	2	5625	5632
Zl	2	527	527
Zl	2	3622	3637
Zl	2	1827	1827
Zl	2	5627	5634
Zl	2	629	629
Zl	2	3624	3639
Zl	2	1832	1832
Zl	2	729	729
Zl	2	14629	14634
Zl	2	5629	5636
Zl	2	634	634
Zl	2	5631	5638
Zl	2	633	633
Zl	2	535	535
Zl	2	7938	7935
Zl	2	1839	1839
Zl	2	14641	14646
Zl	2	543	543
Zl	2	7946	7943
Zl	2	646	646
Zl	2	1848	1848
Zl	2	548	548
Zl	2	5645	5652
Zl	2	5647	5654
Zl	2	552	552
Zl	2	8154	8151
Zl	2	5649	5656
Zl	2	3646	3661
Zl	2	654	654
Zl	2	5651	5658
Zl	2	653	653
Zl	2	7956	7953
Zl	2	3648	3663
Zl	2	1856	1856
Zl	2	556	556
Zl	2	7958	7955
Zl	2	658	658
Zl	2	8160	8157
Zl	2	560	560
Zl	2	14657	14662
Zl	2	5657	5664
Zl	2	559	559
Zl	2	8562	8559
Zl	2	1859	1859
Zl	2	14659	14664
Zl	2	5659	5666
Zl	2	661	661
Zl	2	7964	7961
Zl	2	3656	3671
Zl	2	14661	14666
Zl	2	5661	5668
Zl	2	563	563
Zl	2	7966	7963
Zl	2	14663	14668
Zl	2	5663	5670
Zl	2	665	665
Zl	2	7968	7965
Zl	2	14665	14670
Zl	2	567	567
Zl	2	670	670
Zl	2	1867	1867
Zl	2	14667	14672
Zl	2	669	669
Zl	2	1872	1872
Zl	2	14669	14674
Zl	2	773	773
Zl	2	677	677
Zl	2	5679	80479
Zl	2	3680	73680
Zp	2	7615	7622
Zp	2	7661	7668
Zp	2	7665	7672
Ah	3	3120	3120
Ah	3	3122	3122
Ah	3	3124	3124
Ah	3	3130	3130
Ah	3	3132	3132
Ah	3	3032	3032
Ah	3	3134	3134
Ah	3	3136	3136
Ah	3	3138	3138
Ah	3	3038	3038
Ah	3	3144	3144
Ah	3	3148	3148
Ah	3	3152	3152
Ah	3	3052	3052
Ah	3	3054	3054
Ah	3	3156	3156
Ah	3	3056	3056
Ah	3	3058	3058
Ah	3	3060	3060
Ah	3	3162	3162
Ah	3	3166	3166
Ah	3	3066	3066
Ah	3	3168	3168
Ah	3	3068	3068
Alm	3	2665	72665
Alm	3	2667	72667
Alm	3	2675	72675
Amf	3	1535	88545
Amf	3	1551	1554
Amf	3	88568	1558
Amf	3	80446	88563
Amr	3	827	827
Amr	3	3027	3027
Amr	3	3031	3031
Amr	3	3020	3020
Amr	3	822	837
Amr	3	824	839
Amr	3	3024	3024
Amr	3	826	841
Amr	3	3026	3026
Amr	3	3030	3030
Amr	3	3057	3057
Amr	3	3061	3061
Amr	3	3063	3063
Amr	3	3065	3065
Amr	3	867	867
Amr	3	3067	3067
Amr	3	3054	3054
Amr	3	3058	3058
Amr	3	3062	3062
Asd	3	80826	4606
Asd	3	80730	819
Asd	3	80830	2212
Asd	3	70105	105
Asd	3	820	820
Asd	3	2160	2179
Asd	3	3070	3070
Asd	3	2166	2185
Asd	3	2170	72170
Asd	3	3082	80801
Bkd	3	88567	88570
Brusz	3	9310	9310
Brusz	3	9309	9309
Brusz	3	9322	9322
Brusz	3	9327	9327
Brusz	3	9339	9339
Brusz	3	9352	9352
Brusz	3	9351	9351
Brusz	3	9370	9370
Brusz	3	9376	9376
Ddr	3	80406	2412
Ddr	3	2206	2414
Ddr	3	2423	2418
Ddr	3	2425	2420
Ddr	3	2429	2424
Ddr	3	2433	2428
Ddr	3	2437	2432
Ddr	3	2455	2450
Ddr	3	2457	2452
Ddr	3	2461	2456
Ddr	3	2469	2464
Ddr	3	2471	2466
Ddr	3	2473	2468
Ddr	3	2483	80403
Ddr	3	2487	80405
Dv	3	1727	1727
Dv	3	1629	1629
Dv	3	1731	1731
Dv	3	1633	1633
Dv	3	1636	1636
Dv	3	1644	1644
