"from","to","distance"
"Llsoa","Lls",2
"Lls","Llsz",2.5
"Llsz","Almo",15.6
"Almo","Almb",1.8
"Almb","Almp",3.1
"Almp","Alm",1.8
"Alm","Almm",2.1
"Almm","Almmo",1.4
"Almmo","Ampo",2.6
"Ampo","Mbga",6.9
"Mbga","Vtbr",2.4
"Gpda","Ddm",1.3
"Ddm","Mdsa",1.5
"Mdsa","Dmnz",1.1
"Dmnz","Vspa",0.8
"Vspa","Dvd",0.9
"Dvd","Dvaw",1.5
"Dvaw","Rai",2.2
"Rai","Asdz",1.3
"Asdz","Skbr",1.7
"Skbr","Asra",1.5
"Asra","Shl",5.8
"Lls","Llsoa",2
"Llsoa","Llsstb",4.3
"Llsstb","Stb",2.9
"Stb","Stbdro",2.9
"Stbdro","Dron",8.6
"Dron","Drokpz",5.3
"Drokpz","Kpnzow",5.9
"Kpnzow","Kpnz",2.4
"Kpnz","Kpnzoo",1.3
"Kpnzoo","Kpzhtb",5.1
"Kpzhtb","Htba",5.1
"Gvc","Laa",1.6
"Laa","Gvm",2.4
"Gvm","Vst",5.9
"Vst","Dvnk",2.7
"Dvnk","Vkbr",0.7
"Vkbr","Ledn",2.1
"Nvp","Hfdm",4.9
"Hfdm","Hfd",0.5
"Hfd","Shl",4.7
"Shl","Asra",5.8
"Asra","Skbr",1.5
"Skbr","Asdz",1.7
"Asdz","Rai",1.3
"Rai","Dvaw",2.2
"Dvaw","Dvd",1.5
"Dvd","Vspa",0.9
"Vspa","Dmnz",0.8
"Dmnz","Mdsa",1.1
"Mdsa","Ddm",1.5
"Ddm","Gpda",1.3
"Vtbr","Mbga",2.4
"Mbga","Ampo",6.9
"Ampo","Almmo",2.6
"Almmo","Almm",1.4
"Almm","Alm",2.1
"Alm","Almp",1.8
"Almp","Almb",3.1
"Almb","Almo",1.8
"Almo","Llsz",15.6
"Llsz","Lls",2.5
"Ehv","Ehs",2
"Ehs","At",3.7
"At","Bet",4.4
"Bet","Beto",1.8
"Beto","Lpe",4.3
"Lpe","Btl",3.6
"Btl","Vg",8.3
"Vg","Vga",0.8
"Vga","Ht",3.2
"Hdl","Ozbm",6
"Ozbm","Zbm",0.7
"Zbm","Mbtwaz",5.3
"Mbtwaz","Mbtwan",1.6
"Mbtwan","Gdm",1.7
"Gdm","Gdma",1.2
"Gdma","Cl",6.6
"Cl","Lek",2.5
"Lek","Htnc",6
"Htnc","Htn",2.1
"Htn","Utln",4.1
"Utln","Utza",0.7
"Asd","Sgbr",1.4
"Sgbr","Sgra",0.2
"Sgra","Obpa",1.1
"Obpa","Ass",1.9
"Ass","Rdwa",1.1
"Rdwa","Hmta",2.4
"Hmta","Zd",3.9
"Zd","Kz",2.4
"Kz","Zzs",1.1
"Zzs","Wm",2.5
"Wm","Nnvbr",1.5
"Nnvbr","Kma",1.2
"Kma","Utg",4.7
"Utg","Cas",3.8
"Hlo","Amr",4.9
"Amr","Nhkbr",0.5
"Nhkbr","Amrn",1.3
"Amrn","Bol",3.1
"Bol","Hwd",1.9
"Hwd","Sgn",13.9
"Mt","Bha",2.4
"Bha","Bde",3.7
"Bde","Bk",7.5
"Bk","Lut",4.2
"Lut","Luta",1
"Luta","Std",2.9
"Std","Srn",6.6
"Srn","Ec",4.6
"Ec","Mbt",5.5
"Mbt","Rm",7.7
"Rm","Hln",7.3
"Hln","Wt",16.9
"Wt","Mz",8.9
"Mz","Ohze",8.5
"Ohze","Hze",1.3
"Hze","Gp",4.2
"Gp","Tgra",4.3
"Tgra","Ehv",1.9
"Ehv","Tgra",1.9
"Tgra","Gp",4.3
"Gp","Hze",4.2
"Hze","Ohze",1.3
"Ohze","Mz",8.5
"Mz","Wt",8.9
"Wt","Hln",16.9
"Hln","Rm",7.3
"Rm","Mbt",7.7
"Mbt","Ec",5.5
"Ec","Srn",4.6
"Srn","Std",6.6
"Std","Luta",2.9
"Luta","Lut",1
"Lut","Bk",4.2
"Bk","Bde",7.5
"Bde","Bha",3.7
"Bha","Mt",2.4
"Utza","Utln",0.7
"Utln","Htn",4.1
"Htn","Htnc",2.1
"Htnc","Lek",6
"Lek","Cl",2.5
"Cl","Gdma",6.6
"Gdma","Gdm",1.2
"Gdm","Mbtwan",1.7
"Mbtwan","Mbtwaz",1.6
"Mbtwaz","Zbm",5.3
"Zbm","Ozbm",0.7
"Ozbm","Hdl",6
"Ht","Vga",3.2
"Vga","Vg",0.8
"Vg","Btl",8.3
"Btl","Lpe",3.6
"Lpe","Beto",4.3
"Beto","Bet",1.8
"Bet","At",4.4
"At","Ehs",3.7
"Ehs","Ehv",2
"Sgn","Hwd",13.9
"Hwd","Bol",1.9
"Bol","Amrn",3.1
"Amrn","Nhkbr",1.3
"Nhkbr","Amr",0.5
"Amr","Hlo",4.9
"Cas","Utg",3.8
"Utg","Kma",4.7
"Kma","Nnvbr",1.2
"Nnvbr","Wm",1.5
"Wm","Zzs",2.5
"Zzs","Kz",1.1
"Kz","Zd",2.4
"Zd","Hmta",3.9
"Hmta","Rdwa",2.4
"Rdwa","Ass",1.1
"Ass","Obpa",1.9
"Obpa","Sgra",1.1
"Sgra","Sgbr",0.2
"Sgbr","Asd",1.4
"Hdr","Hdrz",2.5
"Hdrz","Kgs",3.8
"Kgs","Ana",4.9
"Ana","Sgn",9.1
"Sgra","Asdta",1.1
"Asdta","Ass",1.9
"Ass","Aeg",1.1
"Aeg","Asdl",2.3
"Asdl","Asra",2.5
"Rtd","Wiltn",1
"Wiltn","Rtb",1
"Rtb","Wiltz",1.1
"Wiltz","Rtz",1.1
"Rtz","Rtst",1.3
"Rtst","Rlb",1.7
"Zha","Nvbro",1.1
"Nvbro","Bdpb",3.5
"Bdpb","Bda",3.1
"Bda","Bd",1.1
"Asra","Asdl",2.5
"Asdl","Aeg",2.3
"Aeg","Ass",1.1
"Ass","Asdta",1.9
"Asdta","Sgra",1.1
"Bd","Bda",1.1
"Bda","Bdpb",3.1
"Bdpb","Nvbro",3.5
"Nvbro","Zha",1.1
"Rlb","Rtst",1.7
"Rtst","Rtz",1.3
"Rtz","Wiltz",1.1
"Wiltz","Rtb",1.1
"Rtb","Wiltn",1
"Wiltn","Rtd",1
"Rtd","Dhsa",1.8
"Dhsa","Dhs",0.3
"Dhs","Rmoa",0.1
"Rmoa","Sdm",1.8
"Sdm","Dtzo",7
"Dtzo","Dtz",1.4
"Dtz","Dt",1.9
"Dt","Ngsfa",1.1
"Ngsfa","Dta",1.4
"Dta","Rsw",1.8
"Rsw","Gvmw",2
"Gvmw","Gv",2
"Gv","Laa",1.9
"Shl","Shl",4.7
"Btl","Ot",9
"Ot","Tba",6.2
"Tba","Tb",1.8
"Tb","Tbu",2.3
"Tbu","Tbr",4
"Tbr","Gz",4.8
"Gz","Gzvea",1.3
"Gzvea","Bd",9.7
"Gv","Gvc",1.8
"Gv","Gvmw",2
"Gvmw","Rsw",2
"Rsw","Dta",1.8
"Dta","Ngsfa",1.4
"Ngsfa","Dt",1.1
"Dt","Dtz",1.9
"Dtz","Dtzo",1.4
"Dtzo","Sdm",7
"Sdm","Rmoa",1.8
"Rmoa","Dhs",0.1
"Dhs","Dhsa",0.3
"Dhsa","Rtd",1.8
"Bd","Gzvea",9.7
"Gzvea","Gz",1.3
"Gz","Tbr",4.8
"Tbr","Tbu",4
"Tbu","Tb",2.3
"Tb","Tba",1.8
"Tba","Ot",6.2
"Ot","Btl",9
"Gvc","Gv",1.8
"Laa","Gv",1.9
"Ut","Utma",1.2
"Utma","Utzl",0.7
"Es","Esk",4.2
"Esk","Hgl",4.2
"Asdz","Asdzo",0.6
"Asdzo","Skbr",1.1
"Skbr","Asdzo",1.1
"Asdzo","Asdz",0.6
"Hgl","Esk",4.2
"Esk","Es",4.2
"Mda","Mdaz",2
"Mdaz","Ztmo",11
"Ztmo","Ztm",1.1
"Ztm","Ypb",5.4
"Ypb","Vb",3
"Vb","Bkh",1.6
"Bkh","Gvc",1.4
"Gvc","Bkh",1.4
"Bkh","Vb",1.6
"Vb","Ypb",3
"Ypb","Ztm",5.4
"Ztm","Ztmo",1.1
"Ztmo","Mdaz",11
"Mdaz","Hgwbr",3.1
"Nwh","Lis",4.6
"Lis","Hil",3.6
"Hil","Had",6.9
"Had","Hg",2
"Hg","Zspl",1.1
"Zspl","Hlm",1.1
"Hlm","Spbr",0.6
"Spbr","Hlms",2
"Hlms","Hw",4.9
"Hw","Hwzb",0.3
"Hwzb","Ass",6.1
"Ass","Hwzb",6.1
"Hwzb","Hw",0.3
"Hw","Hlms",4.9
"Hlms","Hlmvam",1.1
"Hlmvam","Spbr",0.9
"Spbr","Hlm",0.6
"Hlm","Zspl",1.1
"Zspl","Hg",1.1
"Hg","Had",2
"Had","Hil",6.9
"Hil","Lis",3.6
"Lis","Vh",7.1
"Vh","Ledn",6.8
"Rsd","Kraga",9.4
"Kraga","Bgn",4.2
"Bgn","Rb",15.6
"Rb","Kbd",3.4
"Kbd","Krg",6.6
"Krg","Vlk",2.1
"Vlk","Bzl",3.9
"Bzl","Gs",5
"Gs","Ha",4.8
"Ha","Lwd",8.4
"Lwd","Arn",2.1
"Mdb","Vss",3.9
"Vss","Vs",2
"Rlb","Brd",3.1
"Brd","Kfhaz",6.4
"Kfhaz","Zwd",1.2
"Zwd","Grbr",0.9
"Grbr","Ddr",1.2
"Ddr","Ddzd",2.5
"Ddzd","Wld",5.7
"Wld","Mdbz",3.9
"Mdbz","Zlw",2.4
"Zlw","Zvb",7.6
"Zvb","Zvbi",0.9
"Zvbi","Mabr",1.3
"Mabr","Odb",5.8
"Odb","Rsd",7.2
"Ddr","Grbr",1.2
"Grbr","Zwd",0.9
"Zwd","Kfhaz",1.2
"Kfhaz","Brd",6.4
"Brd","Rlb",3.1
"Bgn","Bgnphm",1.4
"Bgnphm","Kraga",2.9
"Kraga","Rsd",9.4
"Rsd","Odb",7.2
"Odb","Mabr",5.8
"Mabr","Zvbi",1.3
"Zvbi","Zvb",0.9
"Zvb","Zlw",7.6
"Zlw","Mdbz",2.4
"Mdbz","Wld",3.9
"Wld","Ddzd",5.7
"Ddzd","Ddr",2.5
"Krg","Kbd",6.6
"Kbd","Rb",3.4
"Rb","Bgn",15.6
"Vlk","Krg",2.1
"Vs","Vss",2
"Vss","Mdb",3.9
"Arn","Lwd",2.1
"Lwd","Ha",8.4
"Ha","Gs",4.8
"Zha","Zlw",5.4
"Zlw","Zha",5.4
"Almb","Almb",3.1
"Sgn","Ana",9.1
"Ana","Kgs",4.9
"Kgs","Hdrz",3.8
"Hdrz","Hdr",2.5
"Nm","Nml",2.3
"Nml","Rsa",3.4
"Rsa","Ebtwa",1
"Ebtwa","Esta",0.7
"Esta","Est",0.9
"Est","Esta",0.9
"Esta","Ebtwa",0.7
"Ebtwa","Rsa",1
"Rsa","Nml",3.4
"Nml","Nm",2.3
"Asb","Dvaw",2.8
"Dvaw","Asb",2.8
"Zd","Zdb",2
"Zdb","Zdk",0.6
"Zdk","Pmw",9.2
"Pmr","Whe",0.5
"Whe","Pmo",1
"Pmo","Hna",17.2
"Hna","Hn",0.6
"Hn","Hnk",2.3
"Ekz","Bkf",2.1
"Bkf","Bkg",1.2
"Bkg","Hks",3.6
"Hks","Hnk",8.1
"Hnk","Hn",2.3
"Hn","Hna",0.6
"Hna","Pmo",17.2
"Pmo","Whe",1
"Whe","Pmr",0.5
"Pmw","Zdk",9.2
"Zdk","Zdb",0.6
"Zdb","Zd",2
"Hlm","Nspl",1.5
"Nspl","Bll",1.1
"Bll","Sptz",1.8
"Sptz","Sptn",1.5
"Sptn","Drh",1.1
"Drh","Bv",4.7
"Bv","Hk",2.7
"Hk","Utg",3.8
"Utg","Hk",3.8
"Hk","Bv",2.7
"Bv","Drh",4.7
"Drh","Sptn",1.1
"Sptn","Sptz",1.5
"Sptz","Bll",1.8
"Bll","Nspl",1.1
"Nspl","Hlm",1.5
"Hrl","Hrla",1
"Hrla","Hb",2.1
"Hb","Nh",3.2
"Gln","Std",4.1
"Std","Gln",4.1
"Nh","Hb",3.2
"Hb","Hrla",2.1
"Hrla","Hrl",1
"Zp","Zpgea",1.4
"Zpgea","Zpta",0.7
"Zpta","Spa",11.2
"Dv","Ost",9.6
"Va","Ahpr",1.4
"IJbza","IJbz",0.6
"IJbz","Zp",0.5
"Rsd","Rsdphi",2.1
"Tba","Tbi",2.7
"Tbi","Vga",14.7
"Ht","Htda",1.1
"Htda","Hto",1.5
"Ow","O",1.8
"O","Oelz",1.3
"Oelz","Rvs",6.9
"Rvs","Mbrvo",2.7
"Mbrvo","Wc",4.1
"Wc","Nmd",4.7
"Nmd","Nmgo",2
"Nmgo","Nm",2.9
"Vga","Tbi",14.7
"Tbi","Tb",4.5
"Nm","Nmgo",2.9
"Nmgo","Nmd",2
"Nmd","Wc",4.7
"Wc","Mbrvo",4.1
"Mbrvo","Rvs",2.7
"Rvs","Oelz",6.9
"Oelz","O",1.3
"O","Ow",1.8
"Hto","Htda",1.5
"Htda","Ht",1.1
"Zp","IJbz",0.5
"IJbz","IJbza",0.6
"Vp","Ahpr",2.8
"Ahpr","Va",1.4
"Ost","Dv",9.6
"Dv","Dvgea",1.5
"Spa","Zpta",11.2
"Zpta","Zpgea",0.7
"Zpgea","Zp",1.4
"Zlgea","Zlge",0.4
"Zlge","Zl",0.7
"Zl","Zlge",0.7
"Zlge","Zlgea",0.4
"Hmla","Hmlba",2
"Hmlba","Bkla",6.2
"Bkla","Hmlba",6.2
"Hmlba","Hmla",2
"Hnk","Hks",8.1
"Hks","Bkg",3.6
"Bkg","Bkf",1.2
"Bkf","Ekz",2.1
"Hna","Obd",10
"Obd","Hwd",6.1
"Hwd","Obd",6.1
"Obd","Hna",10
"Uto","Blw",0.9
"Blw","Bln",0.8
"Hvsp","Hvs",1.2
"Kv","Mbga",2.5
"Mbga","Kv",2.5
"Hvs","Hvsp",1.2
"Bln","Blw",0.8
"Blw","Uto",0.9
"Tb","Tbge",1.7
"Tbge","Tbu",0.7
"Tbu","Tbge",0.7
"Tbge","Tb",1.7
"Mt","Mtr",1.7
"Mtr","Edn",7.4
"Edn","Edng",1.5
"Edng","Edn",1.5
"Edn","Mtr",7.4
"Mtr","Mt",1.7
"Zvt","Ovn",6
"Ovn","Hlmkr",1.2
"Hlmkr","Hlm",0.9
"Hlm","Hlmkr",0.9
"Hlmkr","Ovn",1.2
"Ovn","Zvt",6
"Brna","Sd",2.4
"Sd","St",1.3
"St","Stz",1
"Stz","Dld",5.1
"Bloa","Blo",1.2
"Blo","Bkp",0.3
"Bkp","Blw",0.4
"Blw","Bkp",0.4
"Bkp","Blo",0.3
"Blo","Bloa",1.2
"Dld","Stz",5.1
"Stz","St",1
"St","Sd",1.3
"Sd","Brna",2.4
"Zlra","Zlptta",0.8
"Zlptta","Zl",1.2
"Tl","Tpsw",2.9
"Tpsw","Wnn",1.6
"Wnn","Gdm",7.4
"Utln","Utvr",1.9
"Utvr","Utln",1.9
"Gdm","Wnn",7.4
"Wnn","Tpsw",1.6
"Tpsw","Tl",2.9
"Vndc","Vndwo",1.1
"Vndwo","Vndw",0.5
"Vndw","Har",5.1
"Har","Vndw",5.1
"Vndw","Vndwo",0.5
"Vndwo","Vndc",1.1
"Rhn","Vndc",7.2
"Vndc","Rhn",7.2
"Wdn","Nvd",8.3
"Nvd","Rat",13.6
"Rat","Hno",5.7
"Hno","Zlgea",11.2
"Zlgea","Hno",11.2
"Hno","Rat",5.7
"Rat","Nvd",13.6
"Nvd","Wdn",8.3
"Wad","Wadn",1.2
"Wadn","Bsks",1.4
"Bsks","Bsk",1
"Bsk","Apn",5.8
"Gd","Gwbr",1.7
"Gwbr","Mda",1
"Apn","Bsk",5.8
"Bsk","Bsks",1
"Bsks","Wadn",1.4
"Wadn","Wad",1.2
"Mda","Gwbr",1
"Gwbr","Gd",1.7
"Apn","Ztwo",7.2
"Ztwo","Ztww",4.3
"Ztww","Rskbl",0.2
"Rskbl","Ldl",0.4
"Ldl","Ld",1.6
"Ld","Gwt",0.4
"Gwt","Ledn",0.8
"Wd","Wdmv",3.2
"Wdmv","Dwb",3.2
"Dwb","Bdg",4.4
"Bdg","Gwb",6.6
"Gwb","Apn",1.6
"Ledn","Gwt",0.8
"Gwt","Ld",0.4
"Ld","Ldl",1.6
"Ldl","Rskbl",0.4
"Rskbl","Ztww",0.2
"Ztww","Ztwo",4.3
"Ztwo","Apn",7.2
"Apn","Gwb",1.6
"Gwb","Bdg",6.6
"Bdg","Dwb",4.4
"Dwb","Wdmv",3.2
"Wdmv","Wd",3.2
"Dn","Hmbh",6.2
"Hmbh","Hm",2.9
"Hm","Hmh",2.2
"Hmh","Hmbv",1.7
"Hmbv","Tgra",7.4
"Tgra","Hmbv",7.4
"Hmbv","Hmh",1.7
"Hmh","Hm",2.2
"Hm","Hmbh",2.9
"Hmbh","Dn",6.2
"Ehs","Ehst",1.3
"Ehst","Ehv",0.8
"Vl","Br",1.5
"Br","Hrt",10
"Hrt","Grvn",8.3
"Grvn","Dn",9.6
"Dn","Grvn",9.6
"Grvn","Hrt",8.3
"Hrt","Br",10
"Br","Vl",1.5
"Lg","Hrlk",1.9
"Hrlk","Hrl",1.6
"Hrl","Hrlk",1.6
"Hrlk","Lg",1.9
"Ahp","Ahp",1.3
"Bha","Mtn",0.1
"Mtn","Mes",2.8
"Mes","Sgl",3.4
"Sgl","Vk",2.7
"Vk","Sog",3.2
"Vdl","Hrlw",2
"Hrlw","Hrla",0.3
"Hrla","Hrlw",0.3
"Hrlw","Vdl",2
"Sog","Vk",3.2
"Vk","Sgl",2.7
"Sgl","Mes",3.4
"Mes","Mtn",2.8
"Mtn","Bha",0.1
"Gr","Bhdv",6.4
"Bhdv","Gnd",3
"Gnd","Hbzm",1.4
"Hbzm","Sdt",2.6
"Sdt","Sdtb",2.8
"Sdtb","Bmbr",0.9
"Bmbr","Ddri",1.7
"Ddri","Wijb",0.2
"Sgra","Aswplz",0.3
"Tbi","Tba",2.7
"Spbr","Hlmwph",0.6
"Dgrw","Asdmw",2.3
"Asdmw","Wgmw",1
"Wgmw","Wgm",0.9
"Wgm","Wgmw",0.9
"Wgmw","Asdmw",1
"Asdmw","Dgrw",2.3
"Aswplz","Sgra",0.3
"Hfdo","Hfdm",1.1
"Hfdm","Hfdo",1.1
"Bkh","Gv",1.4
"Zpge","Zpgea",0.5
"Dvgea","Dvge",0.7
"Dvge","Dv",0.8
"Zpgea","Zpge",0.5
"Wgm","Wgmrba",1.5
"Wgmrba","Mdsa",1.6
"Llsoa","Llsow",2.5
"Llsow","Llso",0.9
"Kraga","Bgnphm",2.9
"Bgnphm","Bgn",1.4
"Mdsa","Wgmrba",1.6
"Wgmrba","Wgm",1.5
"Llso","Llsow",0.9
"Llsow","Llsoa",2.5
"Gv","Bkh",1.4
"Vspa","Asdar",1.6
"Asdar","Asb",0.8
"Mdaz","Mda",2
"Mda","Hgwbr",1.1
"Ldd","Ypb",2.3
"Ypb","Ldd",2.3
"Hgwbr","Mdaz",3.1
"On","Onn",0.9
"Wgmo","Wgmrba",1
"Onz","On",2.1
"Onn","On",0.9
"Zpge","Zp",0.9
"Aswpln","Asdta",0.7
"Asdta","Aswpln",0.7
"Zp","Zpge",0.9
"Blo","Blz",0.9
"Blz","Utm",2.6
"Amf","Bkd",1.1
"Bkd","Amf",1.1
"Dvaz","Vspa",1.3
"On","Onz",2.1
"Zlgea","Zlgea",2.8
"Wgmrba","Wgmo",1
"Asdma","Dgro",0.4
"Dgro","Dgok",0.8
"Utm","Blz",2.6
"Blz","Blo",0.9
"Br","Br",1.5
"Rsdphi","Rsd",2.1
"Rsd","Rsd",12.8
"Wsba","Wspl",0.6
"Mdo","Mda",1.2
"Wspl","Wsba",0.6
"Wsba","Rtd",1.1
"Tb","Tbi",4.5
"Zspl","Hlmkr",0.3
"Hlmkr","Nspl",0.8
"Zlw","Zlw",2.4
"Zvbi","Zvbi",0.9
"Rtngw","Rtng",1.2
