"TrafficDate","Trainseries","TrainCharacteristic","Trainnumber","Location","Activity","PlannedTime","Realisation","Delay_min","DelayJump"
"2017-11-07","500O","IC",515,"Kg","D",2017-11-07 07:04:00,2017-11-07 07:04:06,0,0
"2017-11-07","500O","IC",515,"Hgv","D",2017-11-07 07:09:00,2017-11-07 07:10:09,1,1
"2017-11-07","500O","IC",515,"Vama","D",2017-11-07 07:12:00,2017-11-07 07:12:25,0,-1
"2017-11-07","500O","IC",515,"Bl","D",2017-11-07 07:16:00,2017-11-07 07:16:34,0,0
"2017-11-07","500O","IC",515,"Asn","K_A",2017-11-07 07:24:12,2017-11-07 07:24:06,0,0
"2017-11-07","500O","IC",515,"Asn","K_V",2017-11-07 07:25:00,2017-11-07 07:25:05,0,0
"2017-11-07","500O","IC",515,"Onz","D",2017-11-07 07:35:00,2017-11-07 07:35:11,0,0
"2017-11-07","500O","IC",515,"Onn","D",2017-11-07 07:37:00,2017-11-07 07:36:37,0,0
"2017-11-07","500O","IC",515,"Hrn","D",2017-11-07 07:37:00,2017-11-07 07:37:10,0,0
"2017-11-07","500O","IC",515,"Gnl","D",2017-11-07 07:39:00,2017-11-07 07:39:00,0,0
"2017-11-07","500O","IC",515,"Gerp","D",2017-11-07 07:40:00,2017-11-07 07:39:26,0,0
"2017-11-07","500O","IC",515,"Gn","A",2017-11-07 07:43:00,2017-11-07 07:41:48,-1,-1
"2017-11-07","500O","IC",519,"Rtd","V",2017-11-07 06:05:00,2017-11-07 06:08:10,3,3
"2017-11-07","500O","IC",519,"Wspl","D",2017-11-07 06:07:00,2017-11-07 06:10:20,3,0
"2017-11-07","500O","IC",519,"Az","D",2017-11-07 06:08:00,2017-11-07 06:11:32,3,0
"2017-11-07","500O","IC",519,"Hlba","D",2017-11-07 06:08:00,2017-11-07 06:12:01,4,1
"2017-11-07","500O","IC",519,"Rtn","D",2017-11-07 06:09:00,2017-11-07 06:12:29,3,-1
"2017-11-07","500O","IC",519,"Rtngw","D",2017-11-07 06:10:00,2017-11-07 06:13:16,3,0
"2017-11-07","500O","IC",519,"Rtngo","D",2017-11-07 06:11:00,2017-11-07 06:13:44,2,-1
"2017-11-07","500O","IC",519,"Rta","K_A",2017-11-07 06:12:12,2017-11-07 06:15:30,3,1
"2017-11-07","500O","IC",519,"Rta","K_V",2017-11-07 06:13:00,2017-11-07 06:16:12,3,0
"2017-11-07","500O","IC",519,"Cps","D",2017-11-07 06:15:00,2017-11-07 06:18:04,3,0
"2017-11-07","500O","IC",519,"Nwk","D",2017-11-07 06:16:00,2017-11-07 06:19:16,3,0
"2017-11-07","500O","IC",519,"Nwki","D",2017-11-07 06:17:00,2017-11-07 06:19:40,2,-1
"2017-11-07","500O","IC",519,"Mdo","D",2017-11-07 06:19:00,2017-11-07 06:21:38,2,0
"2017-11-07","500O","IC",519,"Hgwbr","D",2017-11-07 06:21:00,2017-11-07 06:23:00,2,0
"2017-11-07","500O","IC",519,"Gd","A",2017-11-07 06:23:00,2017-11-07 06:24:57,1,-1
"2017-11-07","500O","IC",519,"Gd","V",2017-11-07 06:24:00,2017-11-07 06:25:51,1,0
"2017-11-07","500O","IC",519,"Gdg","D",2017-11-07 06:26:00,2017-11-07 06:27:46,1,0
"2017-11-07","500O","IC",519,"Odw","D",2017-11-07 06:28:00,2017-11-07 06:30:40,2,1
"2017-11-07","500O","IC",519,"Odo","D",2017-11-07 06:29:00,2017-11-07 06:31:02,2,0
"2017-11-07","500O","IC",519,"Wdo","D",2017-11-07 06:31:00,2017-11-07 06:33:18,2,0
"2017-11-07","500O","IC",519,"Wd","D",2017-11-07 06:32:00,2017-11-07 06:34:24,2,0
"2017-11-07","500O","IC",519,"Hmla","D",2017-11-07 06:34:00,2017-11-07 06:36:10,2,0
"2017-11-07","500O","IC",519,"Hmlva","D",2017-11-07 06:35:00,2017-11-07 06:37:18,2,0
"2017-11-07","500O","IC",519,"Vtn","D",2017-11-07 06:36:00,2017-11-07 06:38:14,2,0
"2017-11-07","500O","IC",519,"Utt","D",2017-11-07 06:37:00,2017-11-07 06:39:14,2,0
"2017-11-07","500O","IC",519,"Utlr","D",2017-11-07 06:38:00,2017-11-07 06:40:04,2,0
"2017-11-07","500O","IC",519,"Utwa","D",2017-11-07 06:39:00,2017-11-07 06:42:47,3,1
"2017-11-07","500O","IC",519,"Ut","A",2017-11-07 06:42:00,2017-11-07 06:46:14,4,1
"2017-11-07","500O","IC",519,"Ut","V",2017-11-07 06:48:00,2017-11-07 06:50:02,2,-2
"2017-11-07","500O","IC",519,"Uto","D",2017-11-07 06:50:00,2017-11-07 06:53:03,3,1
"2017-11-07","500O","IC",519,"Bloa","D",2017-11-07 06:52:00,2017-11-07 06:54:26,2,-1
"2017-11-07","500O","IC",519,"Bhv","D",2017-11-07 06:53:00,2017-11-07 06:55:53,2,0
"2017-11-07","500O","IC",519,"Dld","D",2017-11-07 06:54:00,2017-11-07 06:59:50,5,3
"2017-11-07","500O","IC",519,"Amfva","D",2017-11-07 06:58:00,2017-11-07 07:03:37,5,0
"2017-11-07","500O","IC",519,"Amf","A",2017-11-07 07:02:00,2017-11-07 07:05:48,3,-2
"2017-11-07","500O","IC",519,"Amf","V",2017-11-07 07:05:00,2017-11-07 07:06:54,1,-2
"2017-11-07","500O","IC",519,"Ama","D",2017-11-07 07:07:00,2017-11-07 07:08:58,1,0
"2017-11-07","500O","IC",519,"Amfs","D",2017-11-07 07:07:00,2017-11-07 07:09:27,2,1
"2017-11-07","500O","IC",519,"Avat","D",2017-11-07 07:09:00,2017-11-07 07:10:43,1,-1
"2017-11-07","500O","IC",519,"Nkk","D",2017-11-07 07:11:00,2017-11-07 07:12:58,1,0
"2017-11-07","500O","IC",519,"Pt","D",2017-11-07 07:14:00,2017-11-07 07:16:14,2,1
"2017-11-07","500O","IC",519,"Hd","D",2017-11-07 07:19:00,2017-11-07 07:20:33,1,-1
"2017-11-07","500O","IC",519,"Ns","D",2017-11-07 07:24:00,2017-11-07 07:26:03,2,1
"2017-11-07","500O","IC",519,"Hde","D",2017-11-07 07:29:00,2017-11-07 07:30:03,1,-1
"2017-11-07","500O","IC",519,"Htba","D",2017-11-07 07:35:00,2017-11-07 07:36:02,1,0
"2017-11-07","500O","IC",519,"Zlra","D",2017-11-07 07:36:00,2017-11-07 07:36:55,0,-1
"2017-11-07","500O","IC",519,"Zl","A",2017-11-07 07:40:00,2017-11-07 07:39:43,0,0
"2017-11-07","500O","IC",519,"Zl","V",2017-11-07 07:45:00,2017-11-07 07:45:12,0,0
"2017-11-07","500O","IC",519,"Zlgea","D",2017-11-07 07:46:00,2017-11-07 07:47:09,1,1
"2017-11-07","500O","IC",519,"Hea","D",2017-11-07 07:48:00,2017-11-07 07:49:04,1,0
"2017-11-07","500O","IC",519,"Ddv","D",2017-11-07 07:53:00,2017-11-07 07:53:48,0,-1
"2017-11-07","500O","IC",523,"Rtd","V",2017-11-07 07:05:00,2017-11-07 07:10:22,5,5
"2017-11-07","500O","IC",523,"Wspl","D",2017-11-07 07:07:00,2017-11-07 07:12:43,5,0
"2017-11-07","500O","IC",523,"Az","D",2017-11-07 07:08:00,2017-11-07 07:13:57,5,0
"2017-11-07","500O","IC",523,"Hlba","D",2017-11-07 07:08:00,2017-11-07 07:14:26,6,1
"2017-11-07","500O","IC",523,"Rtn","D",2017-11-07 07:09:00,2017-11-07 07:14:55,5,-1
"2017-11-07","500O","IC",523,"Rtngw","D",2017-11-07 07:10:00,2017-11-07 07:15:43,5,0
"2017-11-07","500O","IC",523,"Rtngo","D",2017-11-07 07:11:00,2017-11-07 07:16:15,5,0
"2017-11-07","500O","IC",523,"Rta","K_A",2017-11-07 07:12:12,2017-11-07 07:18:17,6,1
"2017-11-07","500O","IC",523,"Rta","K_V",2017-11-07 07:13:00,2017-11-07 07:19:14,6,0
"2017-11-07","500O","IC",523,"Cps","D",2017-11-07 07:15:00,2017-11-07 07:21:07,6,0
"2017-11-07","500O","IC",523,"Nwk","D",2017-11-07 07:16:00,2017-11-07 07:22:27,6,0
"2017-11-07","500O","IC",523,"Nwki","D",2017-11-07 07:17:00,2017-11-07 07:22:50,5,-1
"2017-11-07","500O","IC",523,"Mdo","D",2017-11-07 07:19:00,2017-11-07 07:24:49,5,0
"2017-11-07","500O","IC",523,"Hgwbr","D",2017-11-07 07:21:00,2017-11-07 07:26:16,5,0
"2017-11-07","500O","IC",523,"Gd","A",2017-11-07 07:23:00,2017-11-07 07:28:16,5,0
"2017-11-07","500O","IC",523,"Gd","V",2017-11-07 07:24:00,2017-11-07 07:29:07,5,0
"2017-11-07","500O","IC",523,"Gdg","D",2017-11-07 07:26:00,2017-11-07 07:31:10,5,0
"2017-11-07","500O","IC",523,"Odw","D",2017-11-07 07:28:00,2017-11-07 07:34:01,6,1
"2017-11-07","500O","IC",523,"Odo","D",2017-11-07 07:29:00,2017-11-07 07:34:22,5,-1
"2017-11-07","500O","IC",523,"Wdo","D",2017-11-07 07:31:00,2017-11-07 07:36:34,5,0
"2017-11-07","500O","IC",523,"Wd","D",2017-11-07 07:32:00,2017-11-07 07:37:36,5,0
"2017-11-07","500O","IC",523,"Hmla","D",2017-11-07 07:34:00,2017-11-07 07:39:21,5,0
"2017-11-07","500O","IC",523,"Hmlva","D",2017-11-07 07:35:00,2017-11-07 07:40:28,5,0
"2017-11-07","500O","IC",523,"Vtn","D",2017-11-07 07:36:00,2017-11-07 07:41:27,5,0
"2017-11-07","500O","IC",523,"Utt","D",2017-11-07 07:37:00,2017-11-07 07:42:23,5,0
"2017-11-07","500O","IC",523,"Utlr","D",2017-11-07 07:38:00,2017-11-07 07:43:08,5,0
"2017-11-07","500O","IC",523,"Utwa","D",2017-11-07 07:39:00,2017-11-07 07:44:07,5,0
"2017-11-07","500O","IC",523,"Ut","A",2017-11-07 07:42:00,2017-11-07 07:45:50,3,-2
"2017-11-07","500O","IC",523,"Ut","V",2017-11-07 07:48:00,2017-11-07 07:48:38,0,-3
"2017-11-07","500O","IC",523,"Uto","D",2017-11-07 07:50:00,2017-11-07 07:51:24,1,1
"2017-11-07","500O","IC",523,"Bloa","D",2017-11-07 07:52:00,2017-11-07 07:52:45,0,-1
"2017-11-07","500O","IC",523,"Bhv","D",2017-11-07 07:53:00,2017-11-07 07:54:09,1,1
"2017-11-07","500O","IC",523,"Dld","D",2017-11-07 07:54:00,2017-11-07 07:55:47,1,0
"2017-11-07","500O","IC",523,"Amfva","D",2017-11-07 07:58:00,2017-11-07 07:59:53,1,0
"2017-11-07","600E","IC",614,"Hde","D",2017-11-07 05:59:00,2017-11-07 06:00:50,1,0
